time,open,high,low,close,All Confimed,MAMA,FAMA,KAMA,Buy Signal,Sell Signal,ICHI BUY,ICHI SELL,5in1 → BULL,5in1 → BEAR,FINAL LONG,FINAL SHORT,GRACE LONG,GRACE SHORT,ADX
1758211200,117587,117809.7,117495,117563.1,,117233.8626996913,116517.0063779473,115803.78608534923,0,0,0,0,0,0,0,0,0,0,23.70250079861561
1758214800,117563.1,117772.4,117418.2,117589.9,,117248.93517244827,116532.49910413864,115805.77539980254,0,0,0,0,0,0,0,0,0,0,23.530885011546122
1758218400,117589.9,117911.7,117513.8,117819.9,1,117461.83788678175,116705.76612498867,115991.13194780967,1,0,0,0,0,0,0,0,0,0,23.662923399716597
1758222000,117819.9,117820,117187.6,117454.5,,117461.63223070875,116716.35830633713,115991.98182692917,0,0,0,0,0,0,0,0,0,0,22.73812432228676
1758225600,117454.5,117662.6,117335.2,117511.8,,117463.27606761418,116728.59535612678,115993.12271897116,0,0,0,0,0,0,0,0,0,0,22.526693459016474
1758229200,117511.8,117512.6,117285.8,117287,,117460.00019423044,116735.39148470598,115993.49038448223,0,0,0,0,0,0,0,0,0,0,22.135547168531463
1758232800,117287,117335.6,117037.9,117056.5,,117458.67528935013,116736.57894664074,115993.50147215887,0,0,0,0,0,0,0,0,0,0,20.627401685211574
1758236400,117056.5,117188.7,116642.3,117085.4,,117392.73600765859,116794.53419644535,116021.82139439246,0,0,0,0,0,0,0,0,0,0,20.218827377024024
1758240000,117085.4,117436.7,117026.6,117422.7,,117392.90237866719,116796.19537558421,116021.86221709837,0,0,0,0,0,0,0,0,0,0,19.141416460871515
1758243600,117422.7,117465.7,117113.1,117233.7,,117390.9630245233,116799.81801336851,116022.03986210757,0,0,0,0,0,0,0,0,0,0,18.176677221519387
1758247200,117233.7,117287.6,117040.8,117113.7,,117390.82179437633,116799.96853389137,116022.04014390911,0,0,0,0,0,0,0,0,0,0,17.56017685157686
1758250800,117113.7,117287,116856.1,116959.9,,117389.27496760954,116801.02621416819,116022.05179840405,0,0,0,0,0,0,0,0,0,0,16.62586182310074
1758254400,116959.9,117100,116700,116990.4,,117386.05132475685,116803.39025324001,116022.11003875555,0,0,0,0,0,0,0,0,0,0,15.754659150322322
1758258000,116990.4,117022.4,116800,116896.7,,117379.38983359463,116807.31076588588,116022.25079820828,0,0,0,0,0,0,0,0,0,0,15.111685151411155
1758261600,116896.7,116896.8,116636.9,116673.1,,117261.6786923235,116845.17352748459,116037.44140266487,0,0,0,0,0,0,0,0,0,0,14.689276919069297
1758265200,116673.1,116992.4,116670.9,116903.4,,117243.28494528457,116855.39289144512,116039.60814907576,0,0,0,0,0,0,0,0,0,0,14.164103402566113
1758268800,116903.4,117092.1,116881.6,116904.6,,117240.91346877337,116856.74260156135,116039.64764055956,0,0,0,0,0,0,0,0,0,0,12.927459534941473
1758272400,116904.6,116982.4,116480.7,116482.9,,117219.06924400713,116861.9633165898,116039.91730772697,0,0,0,0,0,0,0,0,0,0,13.943947664422181
1758276000,116482.9,116548.3,116431.3,116531.3,,117194.4441414135,116867.9154396987,116040.34188228902,0,0,0,0,0,0,0,0,0,0,15.073695328478282
1758279600,116531.3,116557,116309.8,116385.2,,117150.18803004222,116875.63393066823,116041.02063779625,0,0,0,0,0,0,0,0,0,0,16.660175313574673
1758283200,116385.2,116533.6,116111.9,116164.1,,117109.37815091464,116880.47075714031,116041.15322741546,0,0,0,1,0,0,0,1,0,0,19.513764495151076
1758286800,116164.1,116463.4,116065.2,116283,,116798.36487361288,116865.02019138337,116063.72998407517,0,0,0,0,0,0,0,0,0,0,21.362461512034127
1758290400,116283,116487.6,115788.1,115900.9,,116323.21310722124,116721.59363472788,116039.05419757472,0,0,0,0,0,0,0,0,0,0,24.507656613611783
1758294000,115900.9,115946.2,115452.8,115874.5,,116301.63510900449,116711.49601982278,116038.83465723417,0,0,0,0,0,0,0,0,0,0,28.25046732084736
1758297600,115874.5,116140,115788.4,116084,,116211.2460786256,116607.61317817387,116043.72568306125,0,0,0,0,0,0,0,0,0,0,30.897856222386192
1758301200,116084,116092,115533.9,115535.1,,116179.75825823845,116597.65067207011,116043.07650246694,0,0,0,0,0,0,0,0,0,0,33.43503561584147
1758304800,115535.1,115637.7,115380,115410.3,,116145.11348539473,116587.46295371902,116042.30627399358,0,0,0,0,0,0,0,0,0,0,35.78963763201409
1758308400,115410.3,115477.9,115088,115122.7,,115632.53565510936,116348.09083578739,115912.52439204836,0,0,0,0,0,0,0,0,0,0,38.52688755648014
1758312000,115122.7,115440.4,115090.8,115351.1,,115617.21715529001,116328.20016426191,115911.64324133708,0,0,0,0,0,0,0,0,0,0,40.83718189884207
1758315600,115351.1,115532.8,115308.9,115464,,115544.52126539571,116142.28679562957,115853.01290486226,0,0,0,0,0,0,0,0,0,0,43.102092039159395
1758319200,115464,115654.3,115463.9,115613.3,,115571.97274799846,116028.47279304049,115828.54661182038,0,0,0,0,0,0,0,0,0,0,45.202244367163246
1758322800,115613.3,115649.3,115447.5,115633.1,,115574.20996630244,116020.15992866726,115828.37185962353,0,0,0,0,0,0,0,0,0,0,46.280027868563465
1758326400,115633.1,115733.8,115550.8,115727.9,,115579.46904388865,116012.61998772631,115828.2910276608,0,0,0,0,0,0,0,0,0,0,46.82692386693488
1758330000,115727.9,115727.9,115613.8,115629.8,,115581.19524893744,116005.22168239088,115828.13075642228,0,0,0,0,0,0,0,0,0,0,47.096802971480734
1758333600,115629.8,115629.8,115440.6,115600.7,,115581.79297697767,115998.73364238853,115827.97760875487,0,0,0,0,0,0,0,0,0,0,47.33965517987773
1758337200,115600.7,115600.8,115410.9,115449.6,,115525.6026518709,115898.17843596573,115785.5842126613,0,0,0,0,0,0,0,0,0,0,47.552629347631274
1758340800,115449.6,115588.2,115414.2,115569.1,,115527.24432796039,115891.1785419253,115785.38124447898,0,0,0,0,0,0,0,0,0,0,47.247119176889676
1758344400,115569.1,115717.3,115515.4,115717.2,,115531.69925944622,115886.96320169138,115785.35202276372,0,0,0,0,0,0,0,0,0,0,45.66154259816208
1758348000,115717.2,115722.9,115628.7,115699.7,,115536.01927848904,115882.45106553593,115785.3090146749,0,0,0,0,0,0,0,0,0,0,44.927060136176806
1758351600,115699.7,115995.2,115681.8,115972.9,,115541.37841453019,115880.35912756906,115785.33388593908,0,0,0,0,0,0,0,0,0,0,42.31903899252897
1758355200,115972.9,115973.6,115708.3,115715.6,,115564.3785561377,115859.50178699168,115784.27368790003,0,0,0,0,0,0,0,0,0,0,39.48623049986508
1758358800,115715.6,115796.1,115672.4,115676,,115566.42057592144,115856.82095071801,115784.24377728376,0,0,0,0,0,0,0,0,0,0,36.414589337463106
1758362400,115676,115792.9,115676,115745.9,,115575.6757860925,115849.57204850946,115784.14700542022,0,0,0,0,0,0,0,0,0,0,33.34294817506113
1758366000,115745.9,115910.9,115745.9,115889,,115575.82128492682,115849.5084874835,115784.14702792594,0,0,0,0,0,0,0,0,0,0,30.055769611255965
1758369600,115889,115966.5,115810.7,115882.5,,115577.93794055577,115848.57131561835,115784.15139526379,0,0,0,0,0,0,0,0,0,0,27.045363780276386
1758373200,115882.5,115951.7,115862.8,115921.9,,115583.45846024844,115846.44381245534,115784.1814122183,0,0,0,0,0,0,0,0,0,0,24.004016798925978
1758376800,115921.9,116034.4,115889.7,115969.6,,115676.03377988626,115826.01637638525,115792.43688743934,0,0,0,0,0,0,0,0,0,0,21.67290728270178
1758380400,115969.6,116125,115949.9,115994.6,,115689.4500909193,115823.14065440539,115792.6603435714,0,0,0,0,0,0,0,0,0,0,19.813626567359382
1758384000,115994.6,116062.9,115884.7,116032.1,,115813.60917790662,115821.41379064684,115813.73857719237,0,0,0,0,0,0,0,0,0,0,17.153599316609156
1758387600,116032.1,116087.1,115819.2,115824.1,,115813.8005045734,115821.34436688601,115813.7414236178,0,0,0,0,0,0,0,0,0,0,14.030398691256055
1758391200,115824.1,115824.1,115700,115715.8,,115813.28097771958,115821.32299379603,115813.73881511056,0,0,0,0,0,0,0,0,0,0,11.498556472442745
1758394800,115715.8,115800.7,115688.9,115689,,115812.92296140139,115821.31089480579,115813.73780957777,0,0,0,0,0,0,0,0,0,0,9.797262094012606
1758398400,115689,115793.9,115686.3,115721.1,,115812.88970992959,115821.30937004126,115813.73779747363,0,0,0,0,0,0,0,0,0,0,8.144201501665552
1758402000,115721.1,115939.6,115721,115784.5,,115812.65142182118,115821.27303493764,115813.73590692386,0,0,0,0,0,0,0,0,0,0,7.511816430553198
