time,open,high,low,close,mama,fama,kama,signal
1767830400,91369.9,91519.0,91073.0,91387.4,91778.48873248932,92806.76052707704,92281.9464237543,0
1767834000,91387.4,91676.6,91295.7,91418.1,91768.3520360826,92792.1568079948,92281.44171395434,0
1767837600,91418.1,91472.9,90742.4,90954.9,91674.61901390066,92727.7705933217,92269.8905439987,0
1767841200,90954.9,91120.0,90611.2,90809.0,91251.76488984122,92367.25685180884,92070.7764218808,0
1767844800,90809.0,91158.9,90698.0,91024.0,91242.7820227838,92345.08265299891,92069.72705022836,0
1767848400,91024.0,91184.4,90784.0,90824.9,91232.26228558786,92331.07561611626,92069.12426338108,0
1767852000,90824.9,90871.0,89888.0,89888.0,91165.2319431028,92302.00878089966,92066.06818321906,0
1767855600,89888.0,90584.2,89641.0,90541.0,90958.56001563172,92079.61296405277,91949.6635419832,0
1767859200,90541.0,90771.9,90158.0,90235.8,90932.53781741232,92058.96335962469,91948.16977493397,0
1767862800,90235.8,90365.0,89952.5,90010.9,90895.5832048775,92035.63952132448,91946.1788181648,0
1767866400,90010.9,90495.5,89771.3,90408.1,90754.57985241745,91850.3677968733,91852.02618471305,0
1767870000,90408.1,90487.0,90022.0,90224.1,90742.6017593029,91837.86126652472,91851.37302594862,0
1767873600,90224.1,90236.9,89788.5,89990.2,90723.88098132504,91824.00259505492,91850.48966194617,0
1767877200,89990.2,90106.1,89872.0,89966.6,90689.73909327378,91798.43355367302,91847.5611326947,0
1767880800,89966.6,90177.0,89307.5,90022.1,90567.88692758585,91686.13877279565,91797.34553031638,0
1767884400,90022.1,90837.1,89818.1,90786.0,90569.53566474588,91681.91851901425,91797.29202784823,0
1767888000,90786.0,90933.0,90313.6,90932.9,90577.72105551502,91669.48156958344,91796.86321650368,0
1767891600,90932.9,91443.2,90844.0,91368.9,90616.07318535872,91643.94976327602,91795.90574827076,0
1767895200,91368.9,91481.4,90945.6,91112.3,90616.65487594396,91643.34765175504,91795.9048198958,0
1767898800,91112.3,91327.0,90800.1,90933.0,90619.01009269668,91639.53451098554,91795.86048439806,0
1767902400,90933.0,90998.6,90571.5,90924.0,90643.12905973384,91600.1360429397,91790.8306754358,0
1767906000,90924.0,91342.1,90922.1,91276.7,90644.57826434988,91599.04319077775,91790.82804667352,0
1767909600,91276.7,91500.9,91032.7,91233.1,90647.41965733966,91596.74596344268,91790.81566626324,0
1767913200,91233.1,91336.3,91049.1,91104.7,90649.77344078048,91594.30876241437,91790.7984111464,0
1767916800,91104.7,91305.2,91062.2,91290.7,90652.76406508448,91592.11209384551,91790.7880249166,0
