trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
59,2.4745543318847982,657,35.31997146689243,2.4745543318847982,-3.378438061822675,1.5378395885115521,True,12,20,13,15
60,2.7552671905461525,651,39.59320209395718,2.7552671905461525,-4.425699140148276,1.6229069150639537,True,13,32,15,16
61,2.737616330934062,645,39.032054811758265,2.737616330934062,-3.0553605603080514,1.618912185303299,True,14,34,13,15
62,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,16
63,2.7307707032122766,645,39.02285689936584,2.7307707032122766,-4.425652641659084,1.6186393734116082,True,15,31,14,16
64,2.8379660794436865,645,40.627957421045856,2.8379660794436865,-3.0553605603080514,1.6497984557823113,True,14,36,14,15
65,2.4231283041896305,669,34.871122358576876,2.4231283041896305,-3.0689616672298192,1.518885968645669,True,7,32,13,17
66,2.7004933070207287,648,38.51467387973653,2.7004933070207287,-3.0553605603080514,1.6057389340591266,True,13,34,14,16
67,2.7310187606341865,645,39.02789470681582,2.7310187606341865,-4.425652641659084,1.6187192390670695,True,15,31,15,15
68,2.8379757128855596,645,40.62849922510872,2.8379757128855596,-3.0553605603080514,1.6498013291376905,True,14,33,14,18
69,2.764112706486573,651,39.59232970437307,2.764112706486573,-3.0552814112924653,1.6229065240367635,True,13,35,13,18
70,2.6642904964090883,642,37.94333760801665,2.6642904964090883,-4.425232451461591,1.601534388280087,True,15,30,15,20
71,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,16
72,2.8637302506795677,651,41.20612985616978,2.8637302506795677,-3.0553284592443553,1.6536831884570755,True,14,32,14,15
73,2.8637302506795677,651,41.20612985616978,2.8637302506795677,-3.0553284592443553,1.6536831884570755,True,14,32,14,15
74,2.6173393694360225,654,37.46782855700452,2.6173393694360225,-3.0553605603080514,1.5796976823983777,True,14,29,13,15
75,2.831097281368692,645,40.62395785729731,2.831097281368692,-4.425652641659084,1.6495935918155074,True,15,32,14,15
76,2.6654469279877535,642,37.942773228848715,2.6654469279877535,-4.425699140148276,1.6015659953403267,True,14,34,15,15
77,2.826753415333128,654,40.68248367686675,2.826753415333128,-3.0553605603080514,1.6401223386405883,True,13,32,14,16
78,2.764012373869501,651,39.608504097544795,2.764012373869501,-3.0553605603080514,1.6229853276394732,True,14,31,13,17
79,2.583880152170406,648,36.88565655813203,2.583880152170406,-4.425699140148276,1.5751338338423102,True,15,26,14,15
80,2.7920776120904276,648,40.11181046581023,2.7920776120904276,-4.425652641659084,1.6362449080539672,True,14,32,15,16
81,2.8379716018101355,645,40.628380687935525,2.8379716018101355,-3.0553605603080514,1.6497982013648294,True,14,33,14,17
82,2.737572718707126,645,39.031497486684955,2.737572718707126,-3.0553605603080514,1.6188978787290167,True,14,34,14,18
83,2.764012373869501,651,39.608504097544795,2.764012373869501,-3.0553605603080514,1.6229853276394732,True,14,31,13,17
84,2.531341315266054,660,36.44984835596008,2.531341315266054,-3.068066148049853,1.5550575466264407,True,13,30,14,29
85,2.8052008275307188,639,40.04688455130954,2.8052008275307188,-4.425699140148276,1.6456614853633198,True,15,33,15,15
86,2.8380030359371666,645,40.62873614302283,2.8380030359371666,-3.0553605603080514,1.64981091056395,True,14,35,14,16
87,2.764038730543486,651,39.59095146737375,2.764038730543486,-3.0552814112924653,1.6228848402201013,True,13,36,11,16
88,2.7376155248895,645,39.03198838232393,2.7376155248895,-3.054940365695813,1.6189104800417202,True,14,35,14,21
89,2.7043778134018064,639,38.45055867513225,2.7043778134018064,-4.425699140148276,1.614564393283106,True,15,34,13,15
90,2.7552671905461525,651,39.59320209395718,2.7552671905461525,-4.425699140148276,1.6229069150639537,True,13,32,15,16
91,2.758141581967646,651,39.57406349683434,2.758141581967646,-3.0553605603080514,1.62243991432951,True,14,38,14,16
92,2.737616330934062,645,39.032054811758265,2.737616330934062,-3.0553605603080514,1.618912185303299,True,14,34,14,17
93,2.837959586171572,645,40.62817881794951,2.837959586171572,-3.0553605603080514,1.649796204631448,True,14,35,14,18
94,2.5454683561123974,651,36.35216275496704,2.5454683561123974,-3.0846709409394824,1.5626938869052802,True,9,36,14,15
95,2.766300156250038,642,39.53970853783812,2.766300156250038,-4.425278945536027,1.6323140273439296,True,14,33,15,19
96,2.8634185231512674,651,41.19986460888847,2.8634185231512674,-3.0553605603080514,1.6535837982247574,True,14,32,13,17
97,2.7637492135502244,651,39.603125596160524,2.7637492135502244,-3.0553605603080514,1.6229007314770216,True,14,31,13,16
98,2.8633458200958706,651,41.19848637188917,2.8633458200958706,-3.0553605603080514,1.6535619342360912,True,14,32,12,17
99,2.8307584170115434,645,40.616990235263174,2.8307584170115434,-4.425699140148276,1.649489195940542,True,15,32,11,17
