trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
22,0.8487666986618256,489,4.962571773982161,0.8487666986618256,-3.880700037270046,1.195766276720238,True,4.5,2.5,4.0,2.5
23,-0.35380188225128456,495,-2.72054275565613,-0.35380188225128456,-5.68637381051288,0.9260503879492868,True,4.0,3.0,6.0,3.0
24,0.8098105917101339,492,4.229663549493012,0.8098105917101339,-3.3665637189970177,1.1898959295134457,True,4.75,2.25,4.0,2.0
25,0.6456103995011786,435,4.009147143679792,0.6456103995011786,-3.5640666842766677,1.143729511253686,True,4.5,3.25,5.0,4.0
26,-0.45989065861617334,450,-3.641367527337569,-0.45989065861617334,-8.898246532469557,0.9087657494701609,True,3.75,3.75,7.0,4.5
27,0.5501564230867878,525,2.44574048491637,0.5501564230867878,-2.288034694221408,1.1406530715987655,True,5.0,1.5,3.5,3.0
28,0.023947805711508695,501,0.04375586602833881,0.023947805711508695,-4.698890512382425,1.0012920081977177,True,4.0,2.75,5.5,6.0
29,0.08677352330219257,378,0.5364443710377254,0.08677352330219257,-5.492927781268309,1.0143246694860653,True,3.25,4.75,10.5,6.5
30,-0.11380821446709857,597,-0.9587450204915138,-0.11380821446709857,-6.912130341221189,0.9751438999918587,True,3.5,2.25,3.5,2.5
31,1.1558646351071464,492,6.1983245124901165,1.1558646351071464,-3.466066523583866,1.2759431435298692,True,4.5,2.25,4.5,3.5
32,1.5263636951736783,498,7.695564842964009,1.5263636951736783,-2.4802349199610108,1.394918187473994,True,4.5,2.0,5.0,3.5
33,0.8974416740894448,537,4.645209711011233,0.8974416740894448,-3.488103146801025,1.2099464318933024,True,4.25,1.75,5.0,2.5
34,1.8126363769196374,473,8.660408343277304,1.8126363769196374,-2.3456262158828123,1.5034462138322169,True,4.75,2.0,3.0,10.0
35,1.7318683974707592,500,7.9391288553315675,1.7318683974707592,-2.0858360989868374,1.487500291721145,True,4.75,1.75,3.0,10.0
36,1.7318683974707592,500,7.9391288553315675,1.7318683974707592,-2.0858360989868374,1.487500291721145,True,4.75,1.75,3.0,10.0
37,1.4954624885280148,494,6.6645118366654765,1.4954624885280148,-2.9292438708048985,1.4232982486704169,True,5.0,1.75,3.0,10.0
38,1.325135695579153,516,5.819710301503145,1.325135695579153,-2.1480636351605686,1.367127316203906,True,4.75,1.5,3.0,9.5
39,1.6457557026279346,507,7.6691384132139495,1.6457557026279346,-2.6225570065890658,1.4545228109103134,True,4.75,1.75,3.5,9.0
40,-0.17250819925596436,647,-1.5271564886347955,-0.17250819925596436,-7.3061456860839975,0.9667945818254942,True,2.75,2.0,3.5,9.5
41,1.6457557026279346,507,7.6691384132139495,1.6457557026279346,-2.6225570065890658,1.4545228109103134,True,4.75,1.75,3.5,9.0
