trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
20,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
21,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
22,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
23,3.1299840828160406,480,25.22823933950804,3.1299840828160406,-1.742476621166289,1.8702673458273293,True,11,29,10,16
24,3.195454350258281,477,25.762369190452496,3.195454350258281,-1.7500879189482066,1.9049744904819015,True,10,26,10,17
25,3.2635052397685795,480,26.268980691004316,3.2635052397685795,-1.6741211961990077,1.9224826755107507,True,10,30,12,19
26,3.1300925318388644,480,25.229619633002432,3.1300925318388644,-1.7424562962014223,1.8703149601035252,True,8,25,11,21
27,3.252987640666602,480,26.300268486315794,3.252987640666602,-1.7421341687007597,1.9238696913699025,True,10,29,10,16
28,3.1531464845313537,474,25.235262183800856,3.1531464845313537,-1.6955736978601643,1.8862809072764568,True,13,36,13,18
29,3.071906706356918,477,24.69040426106799,3.071906706356918,-1.7504293423634465,1.8517162015869855,True,10,27,13,16
30,3.0032733972754446,474,24.22977133735642,3.0032733972754446,-1.7095430610758244,1.8348960857634868,True,12,40,11,20
31,3.316216742852983,483,26.81000222435468,3.316216742852983,-1.6741035049101072,1.9414745526482649,True,11,31,9,18
32,3.3864495168404463,480,27.34239295813181,3.3864495168404463,-1.6737910591204996,1.978084240154191,True,10,30,9,18
33,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,15
34,3.190448016934081,477,25.783879405668266,3.190448016934081,-1.749896388765082,1.9061229928365981,True,8,28,8,17
35,3.372913910057672,480,27.333978075860642,3.372913910057672,-1.674341607563934,1.9780490659086485,True,9,33,9,18
36,3.4390190712332562,483,27.885365862887102,3.4390190712332562,-1.6737910591204996,1.997626308546113,True,10,32,9,20
37,3.198964820280386,477,25.785615881429358,3.198964820280386,-1.688025625749623,1.9057214510356186,True,11,35,8,20
38,3.0952257631629756,471,24.737739707174633,3.0952257631629756,-1.702458234892168,1.8689166915709186,True,13,32,9,22
39,3.3728882368091133,480,27.33371132792415,3.3728882368091133,-1.674345207180472,1.9780395212836603,True,9,34,9,19
40,2.983870842641708,480,24.251473668344325,2.983870842641708,-1.7651417273115144,1.8212375879114127,True,11,38,8,23
41,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
42,3.1299840828160406,480,25.22823933950804,3.1299840828160406,-1.742476621166289,1.8702673458273293,True,10,28,11,16
43,3.378585413582268,480,27.35396349124688,3.378585413582268,-1.680913111404292,1.9784981379467999,True,9,31,10,18
44,3.2073019864726118,477,25.75739307165179,3.2073019864726118,-1.688410310089472,1.9046232811798083,True,12,33,9,20
45,3.240501741591089,480,26.29927680820945,3.240501741591089,-1.687918197704641,1.9238026748630142,True,10,30,10,19
46,3.1299840828160406,480,25.22823933950804,3.1299840828160406,-1.742476621166289,1.8702673458273293,True,11,29,11,21
47,3.3158832583527955,477,26.83480855780349,3.3158832583527955,-1.6811048198158707,1.9603109491915043,True,9,32,8,16
48,3.0190319599863478,474,24.174109366056374,3.0190319599863478,-1.758137500582968,1.8339104809324873,True,12,27,9,17
49,3.0718827575869723,477,24.69007046888283,3.0718827575869723,-1.7504365262597799,1.851709083763524,True,10,20,12,17
50,3.3733569013296703,486,27.309995590652502,3.3733569013296703,-1.6674206768073518,1.9590465038079798,True,8,31,14,15
51,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,15
52,3.252987640666602,480,26.300268486315794,3.252987640666602,-1.7421341687007597,1.9238696913699025,True,10,28,10,15
53,3.373113442839188,480,27.335363635162114,3.373113442839188,-1.674338683480081,1.9781395527961256,True,9,31,9,18
54,3.2531129808243655,480,26.301865468550933,3.2531129808243655,-1.7421106622569682,1.92392578978903,True,9,29,10,16
55,3.2634685858641137,480,26.268766829088918,3.2634685858641137,-1.6741249604357744,1.9224682374912916,True,11,30,11,17
56,3.1713794545515324,483,25.770003877416215,3.1713794545515324,-1.6882389010144383,1.8890277751971285,True,11,33,11,19
57,3.1686009493663727,483,25.755247151969375,3.1686009493663727,-1.6884484093608432,1.88798783412781,True,10,32,15,15
58,3.2531129808243655,480,26.301865468550933,3.2531129808243655,-1.7421106622569682,1.92392578978903,True,10,28,9,20
59,3.1955814073608826,477,25.76396617268766,3.1955814073608826,-1.7500641973776099,1.9050305889010288,True,9,26,10,18
60,3.0045045342184484,474,24.178257613294907,3.0045045342184484,-1.7102783371736208,1.8336203694481763,True,15,35,10,16
61,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
62,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,17
63,3.130112914743975,480,25.229836321743182,3.130112914743975,-1.7424531054802905,1.8703224349468044,True,11,29,9,18
64,3.1713995224809985,483,25.770220566156965,3.1713995224809985,-1.6882359404652103,1.889035250644552,True,10,32,11,19
65,3.252987640666602,480,26.300268486315794,3.252987640666602,-1.7421341687007597,1.9238696913699025,True,10,29,10,16
66,3.316216742852983,483,26.81000222435468,3.316216742852983,-1.6741035049101072,1.9414745526482649,True,11,31,9,17
67,3.315820512183829,477,26.83413995964783,3.315820512183829,-1.6811139152452803,1.9602870227256939,True,9,33,8,24
68,3.0718936968421966,477,24.690340043644742,3.0718936968421966,-1.7504335058098452,1.8517120996116232,True,10,27,11,18
69,3.3166054949870603,483,26.811739733844185,3.3166054949870603,-1.6741249604357744,1.941645830759706,True,11,32,10,15
70,3.3160089078107684,477,26.83540065221466,3.3160089078107684,-1.6811126661175901,1.9603723095206413,True,9,31,9,29
71,3.386327402928222,480,27.340795975896693,3.386327402928222,-1.6738125066381726,1.978027113363628,True,10,30,10,15
