asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error,fixed_displacement
DOGS,SUCCESS,binance,1H,2024-08-26,2026-01-21,12314,42,,3.75,4.0,3.0,10.0,20,35,14,29,26,2.88790691966846,8.80541496374294,183,0.24031279812115355,0.2274143098844883,57,3.500572214381145,3.3925056360485373,51,-1.028920151425261,2.3196420171128893,1.21214856010076,0.002,,26
DOGS,FAIL,binance,1H,2024-08-26,2026-01-21,12314,42,TRADES<50,4.5,4.75,3.0,2.0,13,26,16,19,39,4.437504917792202,11.423231579038283,195,1.5892237544358059,1.3458148184758878,57,5.036941470895391,3.1315749857790953,36,-0.49060191996139757,4.423528881199192,1.135084143952099,0.0,,39
DOGS,FAIL,binance,1H,2024-08-26,2026-01-21,12314,42,TRADES<50,4.75,4.0,3.0,8.0,7,40,16,27,52,3.0187114211200474,8.368642104048817,198,2.5788221433105023,2.253848697288241,60,5.8746699283360995,3.9422082213444343,36,-0.4923056856881547,8.700408706686702,1.9460853022368039,0.0,,52
DOGS,FAIL,binance,1H,2024-08-26,2026-01-21,12314,42,TRADES<50,4.75,4.0,3.0,9.5,7,23,8,28,65,3.3457995949871804,8.657615661023188,180,3.7239267691700095,2.900626590178601,51,3.445436260907677,2.155233023043812,30,-0.5099210795102005,3.1091089208656126,1.0297796275873117,0.002,,65
DOGS,FAIL,binance,1H,2024-08-26,2026-01-21,12314,42,WFE<0.6; OVERFIT,2.25,4.5,3.0,8.5,12,35,8,15,78,4.272296955808539,19.991743774609105,201,2.5882716181715484,3.933651968083196,66,1.0020828502608252,1.3834444046146421,57,-2.137726885372626,1.2435813157886606,0.2345536512620948,0.1,,78
RUNE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,1.75,3.0,8.5,6.5,15,35,9,30,26,3.283998885556116,23.313634104763416,348,0.4254567535041036,0.8865218100531314,117,-1.3250819842750574,-3.3888709409620965,111,-6.060374721405514,0.7526495135286012,-0.4034964780600608,0.316,,26
RUNE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,2.75,7.5,5.0,15,36,9,17,39,4.254137155885554,25.75945720982382,351,1.6821472800611141,3.5207913813116276,126,-2.4363660429826934,-5.110748081726834,117,-6.227554549404957,0.6234316428580001,-0.5727050994611226,0.61,,39
RUNE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,1.5,4.5,10.0,8.5,5,36,16,28,52,3.6440491997834084,33.18163738277373,268,0.5789195438645577,1.4702165655721133,105,1.8468423306780501,6.666032770929586,114,-3.6100472527617944,1.463512769968616,0.506810481809033,0.008,,52
RUNE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,1.5,5.0,11.0,8.5,5,20,8,16,65,3.133819789266598,26.04284059650901,217,-0.3318247565515992,-1.0030674308810328,105,1.4519967978424633,4.683458226946935,96,-3.1745195144708083,1.3849587315349572,0.46333130029224534,0.018,,65
RUNE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,5.0,3.0,8.0,5,25,13,26,78,2.727479058208678,25.428209438764494,324,3.0021518845391495,8.78720027486648,93,2.299217632077586,7.073817346010536,102,-3.564072016117703,1.6096303800491236,0.8429826895124317,0.006,,78
