asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
COMBO,FAIL,binance,1H,2024-01-22,2025-03-28,10333,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,3.5,4.75,9.0,9.5,13,24,8,28,3.306846688693281,10.697563505834085,141,-0.14528240660460548,-0.15569092537940366,42,0.7037804827275004,0.674341240605103,36,-1.7229914766807242,1.1875150432283519,0.2128252528712189,0.0,
NFP,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.0,3.5,7.0,7.5,7,24,14,19,1.4109914044716856,9.501661228846615,330,0.6073314519316387,1.462932354061408,135,-0.35007154963633974,-0.7670798463912609,97,-3.944720626453113,0.9274256077155971,-0.24810324749456306,0.188,
PORTAL,FAIL,binance,1H,2024-02-29,2026-01-21,16612,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,1.75,5.5,9.0,8,24,11,25,2.5920182495291466,7.828234328695283,264,0.8720180168550763,1.0284225315923212,90,0.39954727795580425,0.41820664861169643,96,-1.247705395085641,1.099509626133519,0.15414524107937283,0.242,
JUP,FAIL,binance,1H,2024-01-31,2026-01-21,17302,42,WFE<0.6; OVERFIT,5.0,2.25,6.5,9.0,19,35,11,24,4.425385499732751,10.935097031594099,231,-0.28075092150041586,-0.33207341598534557,99,1.037618658443959,1.03188423129692,84,-1.2763157760671717,1.2820792871260174,0.23446966563853497,0.026,
PYTH,FAIL,binance,1H,2024-02-02,2026-01-21,17258,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,2.75,5.0,7.0,13,22,13,16,1.9505712666730586,9.064025583440749,330,1.2457897892901855,1.9240580691404219,118,0.3604000952458201,0.507150565510095,99,-3.078238420438273,1.069710612102276,0.18476643299505136,0.07,
HNT,FAIL,binance,1H,,,0,42,ERROR: No data found for HNT in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for HNT in data
MOBILE,FAIL,binance,1H,,,0,42,ERROR: No data found for MOBILE in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for MOBILE in data
IOT,FAIL,binance,1H,,,0,42,ERROR: No data found for IOT in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for IOT in data
AR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,1.5,4.0,5.5,8.0,8,31,9,22,2.6491971025403793,21.02061951337193,324,2.97353782430354,9.001611921926877,138,2.79980821075675,7.620260200562812,96,-2.57004661344179,1.7506006607858304,1.0568516053682626,0.014,
STORJ,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,1.75,3.0,6.0,9,31,11,19,2.3560838023908435,5.903972414126901,285,-1.1373481367342304,-1.3062902830675904,120,0.23071290262360547,0.2121589789938927,81,-1.2768762852521598,1.0580221328551422,0.09792219716017267,0.236,
