trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,sl_mult,tp1_mult,tp2_mult,tp3_mult
51,1.4482091915600073,435,10.804867180701505,1.4482091915600073,-4.1507210290836705,1.3600370103881576,True,4.5,4.75,3.5,5.0
52,1.611166398260481,339,11.210935859753256,1.611166398260481,-2.656365085645296,1.508761064733021,True,5.0,5.0,5.0,4.5
53,1.5100786339270202,363,11.036151587065191,1.5100786339270202,-3.203188563026571,1.4265030325746884,True,4.5,4.75,5.0,5.5
54,0.9644578536733139,387,6.9788287867413645,0.9644578536733139,-3.681687943361567,1.2459187617921381,True,4.75,5.0,4.0,5.0
55,0.8388466670551957,429,4.511964547889447,0.8388466670551957,-3.777862753106531,1.2210823184080963,True,5.0,2.5,4.5,4.5
56,1.890054737731639,471,13.817022857838857,1.890054737731639,-3.4335847279215237,1.468387581610044,True,4.5,4.5,3.0,6.0
57,1.137598866729299,555,9.581252913963656,1.137598866729299,-8.904313296032097,1.2302386475596037,True,4.0,4.5,3.0,6.5
58,1.8150473727925642,501,14.022053333261542,1.8150473727925642,-4.108628489410049,1.4222430483249253,True,4.25,4.5,3.0,6.0
59,1.587036163010349,501,11.966170980320356,1.587036163010349,-4.408497958392887,1.360334709291288,True,4.25,4.25,3.0,6.0
60,0.9833385111336055,573,8.679428675942557,0.9833385111336055,-9.65556910235943,1.1912620589375378,True,3.75,4.5,3.0,7.0
61,1.658163979757452,435,12.496533847368196,1.658163979757452,-3.9417466015262193,1.4164062927730268,True,4.5,5.0,3.5,6.5
62,0.15355689958308624,525,0.8186850196800988,0.15355689958308624,-3.4815003816475065,1.0298363339821304,True,4.25,2.0,3.5,6.5
63,0.7207306557980104,402,5.224079655230374,0.7207306557980104,-4.10523234328275,1.16831675993468,True,4.5,4.75,4.0,7.0
64,0.7623657307114965,510,6.237260341129858,0.7623657307114965,-9.79199467148737,1.1539091877189183,True,4.0,4.5,3.5,6.0
65,2.3012884902903195,471,17.60591174672772,2.3012884902903195,-3.059525431063548,1.5968283117090758,True,4.5,5.0,3.0,7.0
66,2.0979278450515606,471,15.661467302283283,2.0979278450515606,-3.244825762189807,1.5309129810130917,True,4.5,4.75,3.0,8.0
67,0.9055078278230905,555,7.409377913963655,0.9055078278230905,-9.154669052688114,1.1780482328864095,True,4.0,4.25,3.0,7.5
68,1.3635118995698108,501,10.016170980320371,1.3635118995698108,-4.729917362779235,1.3016147825683955,True,4.25,4.0,3.0,8.0
69,1.4374153997208587,247,7.8353429570489075,1.4374153997208587,-3.031871255052898,1.4704059444864945,True,4.75,4.75,10.5,8.0
70,0.4805147715431626,522,4.467973220011201,0.4805147715431626,-9.685892463863844,1.0917045829669443,True,3.25,4.5,4.0,6.5
71,2.3012884902903195,471,17.60591174672772,2.3012884902903195,-3.059525431063548,1.5968283117090758,True,4.5,5.0,3.0,8.5
72,2.0979278450515606,471,15.661467302283283,2.0979278450515606,-3.244825762189807,1.5309129810130917,True,4.5,4.75,3.0,8.5
73,2.0979278450515606,471,15.661467302283283,2.0979278450515606,-3.244825762189807,1.5309129810130917,True,4.5,4.75,3.0,9.0
74,2.040519925914847,501,16.113229803849748,2.040519925914847,-3.9039757253499063,1.4852141914621444,True,4.25,4.75,3.0,9.5
75,0.9090195182959578,555,7.440627913963649,0.9090195182959578,-9.15158723689171,1.1787991741047288,True,4.0,4.25,3.0,9.0
76,1.8279754117732891,501,14.092641568555674,1.8279754117732891,-4.108628489410049,1.424368656532089,True,4.25,4.5,3.0,9.0
77,2.0392495805474926,501,16.101465097967417,2.0392495805474926,-3.9039757253499063,1.4848599234276172,True,4.25,4.75,3.0,9.0
78,0.7606891423925867,402,5.507412988563698,0.7606891423925867,-3.9920576428830623,1.1774455925320948,True,4.5,4.75,4.0,9.5
79,2.186154116465314,453,15.488692655172898,2.186154116465314,-3.437378535420399,1.577020625846425,True,4.75,4.75,3.0,8.5
80,2.186154116465314,453,15.488692655172898,2.186154116465314,-3.437378535420399,1.577020625846425,True,4.75,4.75,3.0,8.5
81,2.186154116465314,453,15.488692655172898,2.186154116465314,-3.437378535420399,1.577020625846425,True,4.75,4.75,3.0,8.5
82,1.802603423588033,420,12.900101179292967,1.802603423588033,-3.575861598285457,1.4716113642189108,True,4.75,5.0,3.5,8.5
83,0.8974002253904279,387,6.215670892004499,0.8974002253904279,-3.6459731420837804,1.2190267358862825,True,4.75,4.75,4.0,9.5
84,2.385189631707833,453,17.312376865699196,2.385189631707833,-3.2590703280545585,1.6449607307947078,True,4.75,5.0,3.0,8.5
85,1.802603423588033,420,12.900101179292967,1.802603423588033,-3.575861598285457,1.4716113642189108,True,4.75,5.0,3.5,8.5
86,2.385189631707833,453,17.312376865699196,2.385189631707833,-3.2590703280545585,1.6449607307947078,True,4.75,5.0,3.0,8.5
87,1.802603423588033,420,12.900101179292967,1.802603423588033,-3.575861598285457,1.4716113642189108,True,4.75,5.0,3.5,8.5
88,2.475238902636455,441,17.19499594032814,2.475238902636455,-2.612748207314519,1.6952333910652608,True,5.0,5.0,3.0,8.0
89,1.8917436986906089,408,13.028334038242217,1.8917436986906089,-2.8953053164149978,1.5161192361397464,True,5.0,5.0,3.5,8.0
90,0.5920647147358744,432,3.32135149500834,0.5920647147358744,-5.189546961939362,1.1360375606880548,True,5.0,3.0,4.0,7.5
91,2.385189631707833,453,17.312376865699196,2.385189631707833,-3.2590703280545585,1.6449607307947078,True,4.75,5.0,3.0,8.5
92,2.385189631707833,453,17.312376865699196,2.385189631707833,-3.2590703280545585,1.6449607307947078,True,4.75,5.0,3.0,8.0
93,1.802603423588033,420,12.900101179292967,1.802603423588033,-3.575861598285457,1.4716113642189108,True,4.75,5.0,3.5,8.5
94,2.475238902636455,441,17.19499594032814,2.475238902636455,-2.612748207314519,1.6952333910652608,True,5.0,5.0,3.0,8.0
95,1.8896813841875695,408,13.00833403824222,1.8896813841875695,-2.9045095484830807,1.5153269334023056,True,5.0,5.0,3.5,7.5
96,2.475238902636455,441,17.19499594032814,2.475238902636455,-2.612748207314519,1.6952333910652608,True,5.0,5.0,3.0,8.0
97,1.8917436986906089,408,13.028334038242217,1.8917436986906089,-2.8953053164149978,1.5161192361397464,True,5.0,5.0,3.5,8.0
98,1.2307028432536307,381,8.451737506861656,1.2307028432536307,-2.891056001413206,1.3217630848182995,True,5.0,5.0,4.0,7.0
99,2.475238902636455,441,17.19499594032814,2.475238902636455,-2.612748207314519,1.6952333910652608,True,5.0,5.0,3.0,8.0
