trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
16,1.1993650242992506,282,4.532809491789536,1.1993650242992506,-1.8884954656500863,1.496634407231959,True,13,29,16,15
17,1.8228345220775672,288,6.600098582129954,1.8228345220775672,-1.802220153949352,1.867115481573016,True,11,33,13,17
18,2.2235263549946107,285,7.687502228562915,2.2235263549946107,-1.009147030940316,2.1652812494370295,True,13,25,12,25
19,1.5306513970945834,279,5.619661340044768,1.5306513970945834,-1.8884954656500863,1.6929684082335168,True,14,25,15,25
20,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,26,12,26
21,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,26,12,26
22,1.9789248528362748,300,7.263814065210528,1.9789248528362748,-1.7360979453139969,1.950496894820174,True,10,25,12,29
23,1.953225154656892,294,7.120802183640107,1.953225154656892,-1.4469218561156016,1.933037973921298,True,13,28,10,25
24,1.4103281454319399,288,5.2535099244525485,1.4103281454319399,-1.8898199861173914,1.6081681355351993,True,12,20,14,27
25,1.8220180964622616,288,6.596956531410947,1.8220180964622616,-1.802220153949352,1.8665238310265717,True,10,24,13,23
26,1.8781717402763076,291,6.875089259746181,1.8781717402763076,-1.8884954656500863,1.900942126140204,True,14,26,10,25
27,1.9886909960810655,282,7.036512217907154,1.9886909960810655,-1.447136435626084,1.9915832071447876,True,12,29,12,22
28,1.9891667962113537,282,7.03819265200436,1.9891667962113537,-1.4469218561156016,1.991957013204863,True,13,22,13,28
29,1.2131372300054568,285,4.61059656702798,1.2131372300054568,-2.244296329638551,1.5051340899474892,True,9,33,15,24
30,2.1655401479603396,297,7.776314923241778,2.1655401479603396,-1.4484590966800215,2.0905990359589532,True,10,26,11,24
31,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,26,12,26
